ntdid,agency,acronym,mode,ntd_mode,region,month,year,vrm
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",1,2006,1751236
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",2,2006,1612691
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",3,2006,1850439
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",4,2006,1716020
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",5,2006,1817414
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",6,2006,1782262
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",7,2006,1751172
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",8,2006,1850503
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",9,2006,1716020
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",10,2006,1817414
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",11,2006,1749173
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",12,2006,1751172
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",1,2007,1817901
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",2,2007,1642970
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",3,2007,1851339
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",4,2007,1782040
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",5,2007,1851575
